method,quantity,onset_time_at_10pct_peak,peak_time,peak_pairwise_rms,terminal_pairwise_rms,terminal_over_peak,trajectory_attenuates_after_peak
direct_irrep,state_fractional_coordinate,0.125,1.0,0.015604415006237105,0.015604415006237105,1.0,False
direct_irrep,state_lattice_log,0.125,1.0,0.2977469679234283,0.2977469679234283,1.0,False
direct_irrep,state_type_logit,0.125,1.0,0.0746971853742642,0.0746971853742642,1.0,False
direct_irrep,velocity_fractional_coordinate,0.0,0.0,0.030632303395707692,0.011300586039266949,0.36891075063099654,True
direct_irrep,velocity_lattice_log,0.0,0.625,0.2991883670911193,0.2977267974721534,0.995114884869435,False
direct_irrep,velocity_type_logit,0.0,0.0,0.09499532742691892,0.06117245840973088,0.6439522876195317,True
orbit_alignment,state_fractional_coordinate,0.25,1.0,0.013228767931910365,0.013228767931910365,1.0,False
orbit_alignment,state_lattice_log,0.125,1.0,0.2818050012657685,0.2818050012657685,1.0,False
orbit_alignment,state_type_logit,0.125,1.0,0.059507946483790874,0.059507946483790874,1.0,False
orbit_alignment,velocity_fractional_coordinate,0.0,0.75,0.029844410646806603,0.02846800339674311,0.9538805685810796,False
orbit_alignment,velocity_lattice_log,0.0,0.875,0.36430724351001637,0.36430724351001637,1.0,False
orbit_alignment,velocity_type_logit,0.0,0.875,0.10726808656805328,0.10726808656805328,1.0,False
raw_tensor,state_fractional_coordinate,0.125,1.0,0.01880020968383178,0.01880020968383178,1.0,False
raw_tensor,state_lattice_log,0.125,1.0,0.3062427788307624,0.3062427788307624,1.0,False
raw_tensor,state_type_logit,0.125,1.0,0.07600900224809136,0.07600900224809136,1.0,False
raw_tensor,velocity_fractional_coordinate,0.0,0.0,0.028572994492216303,0.016303746304142157,0.5705998476492736,True
raw_tensor,velocity_lattice_log,0.0,0.0,0.3145997704538916,0.29820973785328014,0.9479019562634626,False
raw_tensor,velocity_type_logit,0.0,0.0,0.10024334340622383,0.059562540879206996,0.5941795121281731,True
stabilizer_pooling,state_fractional_coordinate,0.125,1.0,0.01884158536891586,0.01884158536891586,1.0,False
stabilizer_pooling,state_lattice_log,0.125,1.0,0.3312172553102885,0.3312172553102885,1.0,False
stabilizer_pooling,state_type_logit,0.125,1.0,0.07064032135531306,0.07064032135531306,1.0,False
stabilizer_pooling,velocity_fractional_coordinate,0.0,0.0,0.026839833814717298,0.01968011463759467,0.73324279030384,True
stabilizer_pooling,velocity_lattice_log,0.0,0.0,0.34489624149033,0.3222884816516723,0.9344505473850124,False
stabilizer_pooling,velocity_type_logit,0.0,0.0,0.09175685972773603,0.05668733681419066,0.6177994428143594,True
