time,material_id,predicted_endpoint_element_accuracy,predicted_endpoint_composition_accuracy,coordinate_endpoint_rms,lattice_log_endpoint_rms,type_endpoint_rms,correct_endpoint_retrieval
0.0,JVASP-1180,0.0,0.0,0.3311053216457367,0.9722925424575806,0.9130681753158569,0.0
0.0,JVASP-22673,0.25,0.0,0.3103829324245453,1.1580314636230469,0.935262143611908,0.0
0.0625,JVASP-1180,0.0,0.0,0.2434706836938858,0.6675835251808167,0.841407835483551,0.0
0.0625,JVASP-22673,0.0,0.0,0.22386014461517334,0.9740775227546692,0.8379728198051453,0.0
0.125,JVASP-1180,0.0,0.0,0.2843286693096161,0.9850112199783325,0.7599876523017883,0.0
0.125,JVASP-22673,0.25,0.0,0.22738532721996307,0.6774563193321228,0.7729114294052124,0.0
0.25,JVASP-1180,0.0,0.0,0.25391173362731934,0.6448216438293457,0.6648619174957275,0.0
0.25,JVASP-22673,0.0,0.0,0.23766788840293884,0.5328582525253296,0.6692541837692261,0.0
0.5,JVASP-1180,0.25,0.0,0.11198759824037552,0.4395514726638794,0.4564104378223419,0.0
0.5,JVASP-22673,0.25,0.0,0.15717768669128418,0.4926038086414337,0.4676569104194641,0.0
0.75,JVASP-1180,1.0,1.0,0.0742952823638916,0.2908284068107605,0.23323097825050354,1.0
0.75,JVASP-22673,1.0,1.0,0.08122573792934418,0.20838288962841034,0.23695948719978333,1.0
0.9375,JVASP-1180,1.0,1.0,0.02050042152404785,0.025319475680589676,0.062289029359817505,1.0
0.9375,JVASP-22673,1.0,1.0,0.017495710402727127,0.0822908878326416,0.06176375225186348,1.0
