subspace,head,active_in_subspace,raw_target_velocity_norm,prediction_error_rms,raw_mse_loss,normalized_loss,gradient_norm,loss_share_of_active_total,optimizer_update_norm_first_order,optimizer_update_norm_total_last_step
type,type,True,0.9678224325180054,0.7554300750016579,0.5706745982170105,0.6092522945639745,0.3056831958550237,1.0,0.00030568319585502367,0.06678099264376489
type,coord,False,0.0,0.020936902607261356,0.00043835389078594744,,0.010903289470430403,0.0,0.0,0.06678099264376489
type,lattice,False,0.0,0.049612438584146955,0.0024613940622657537,,0.06244129877279459,0.0,0.0,0.06678099264376489
geometry,type,False,0.0,0.6853377846620896,0.46968787908554077,,1.5587071316871464,0.0,0.0,0.03069049385932659
geometry,coord,True,0.24815718829631805,0.24470860597291197,0.05988230183720589,0.9723995885309679,0.016002758903447482,0.0604088098483614,1.6002758903447483e-05,0.03069049385932659
geometry,lattice,True,1.9934649467468262,0.9650916889095664,0.9314019680023193,0.2343796732381038,6.020583492894723,0.939591208941861,0.006020583492894723,0.03069049385932659
joint,type,True,0.9917048215866089,0.906852061785392,0.8223806619644165,0.8361959118917176,0.43702279323228255,0.47476402979412896,0.00043702279323228256,0.06566609011186743
joint,coord,True,0.2647361159324646,0.2614157616708364,0.06833820044994354,0.9750730489047913,0.02222858719937227,0.03945194839211576,2.222858719937227e-05,0.06566609011186743
joint,lattice,True,2.4067599773406982,0.9173163510328999,0.8414692878723145,0.1452689200275844,4.592049722252179,0.4857839788012207,0.004592049722252179,0.06566609011186743
