subspace,sample,target,retrieved_endpoint_joint,retrieved_endpoint_geometry,joint_endpoint_retrieval_correct,geometry_endpoint_retrieval_correct,decoded_composition_correct,decoded_atom_type_accuracy,type_endpoint_rms,coordinate_endpoint_rms,lattice_log_endpoint_rms,argmax_atom_types,argmax_composition_elements,argmax_composition_fractions,joint_distance_endpoint_0,joint_distance_endpoint_1,geometry_distance_endpoint_0,geometry_distance_endpoint_1
constrained_discrete_type_set,0,0,0,0,True,True,True,1.0,0.0,0.0,0.0,"[49, 49, 7, 7]","[7, 49]","[0.5, 0.5]",0.0,5.0,0.0,4.0
constrained_discrete_type_set,1,0,0,0,True,True,True,0.5,0.09166985005140305,0.0,0.0,"[49, 7, 7, 49]","[7, 49]","[0.5, 0.5]",0.0,5.0,0.0,4.0
constrained_discrete_type_set,2,0,0,0,True,True,True,0.5,0.09166985005140305,0.0,0.0,"[49, 7, 7, 49]","[7, 49]","[0.5, 0.5]",0.0,5.0,0.0,4.0
constrained_discrete_type_set,3,0,0,0,True,True,True,0.5,0.09166985005140305,0.0,0.0,"[49, 7, 49, 7]","[7, 49]","[0.5, 0.5]",0.0,5.0,0.0,4.0
constrained_discrete_type_set,4,0,0,0,True,True,True,1.0,0.0,0.0,0.0,"[49, 49, 7, 7]","[7, 49]","[0.5, 0.5]",0.0,5.0,0.0,4.0
constrained_discrete_type_set,5,0,0,0,True,True,True,1.0,0.0,0.0,0.0,"[49, 49, 7, 7]","[7, 49]","[0.5, 0.5]",0.0,5.0,0.0,4.0
constrained_discrete_type_set,6,0,0,0,True,True,True,0.5,0.09166985005140305,0.0,0.0,"[7, 49, 7, 49]","[7, 49]","[0.5, 0.5]",0.0,5.0,0.0,4.0
constrained_discrete_type_set,7,0,0,0,True,True,True,0.5,0.09166985005140305,0.0,0.0,"[7, 49, 7, 49]","[7, 49]","[0.5, 0.5]",0.0,5.0,0.0,4.0
constrained_discrete_type_set,8,1,1,1,True,True,False,0.25,0.11227218061685562,0.0,0.0,"[49, 7, 49, 7]","[7, 49]","[0.5, 0.5]",4.0,1.0,4.0,0.0
constrained_discrete_type_set,9,1,1,1,True,True,True,0.5,0.09166985005140305,0.0,0.0,"[7, 5, 5, 7]","[5, 7]","[0.5, 0.5]",5.0,0.0,4.0,0.0
constrained_discrete_type_set,10,1,1,1,True,True,True,0.5,0.09166985005140305,0.0,0.0,"[7, 5, 7, 5]","[5, 7]","[0.5, 0.5]",5.0,0.0,4.0,0.0
constrained_discrete_type_set,11,1,1,1,True,True,True,0.5,0.09166985005140305,0.0,0.0,"[5, 7, 5, 7]","[5, 7]","[0.5, 0.5]",5.0,0.0,4.0,0.0
constrained_discrete_type_set,12,1,1,1,True,True,True,0.5,0.09166985005140305,0.0,0.0,"[7, 5, 7, 5]","[5, 7]","[0.5, 0.5]",5.0,0.0,4.0,0.0
constrained_discrete_type_set,13,1,1,1,True,True,True,0.5,0.09166985005140305,0.0,0.0,"[7, 5, 5, 7]","[5, 7]","[0.5, 0.5]",5.0,0.0,4.0,0.0
constrained_discrete_type_set,14,1,1,1,True,True,True,0.5,0.09166985005140305,0.0,0.0,"[7, 5, 7, 5]","[5, 7]","[0.5, 0.5]",5.0,0.0,4.0,0.0
constrained_discrete_type_set,15,1,1,1,True,True,True,0.5,0.09166985005140305,0.0,0.0,"[7, 5, 7, 5]","[5, 7]","[0.5, 0.5]",5.0,0.0,4.0,0.0
