sampling_steps,free_running_fixed_lift_rms,terminal_wrapped_periodic_rms,sampling_failures
1,0.08354796469211578,0.0746062695980072,0
2,0.11127278953790665,0.11127278953790665,0
4,0.11660200357437134,0.11660200357437134,0
8,0.12141147255897522,0.11969456821680069,0
32,0.12918120622634888,0.12737320363521576,0
100,0.13065814971923828,0.12895044684410095,0
