step,training_velocity_mse
1,0.06281179189682007
100,0.05354706943035126
200,0.057103242725133896
300,0.05102797970175743
400,0.052556321024894714
500,0.05289260670542717
600,0.045686833560466766
700,0.044414810836315155
800,0.04503173753619194
900,0.04222211241722107
1000,0.041555725038051605
1100,0.03715071454644203
1200,0.03815219923853874
1300,0.032412007451057434
1400,0.03577367961406708
1500,0.03749625012278557
1600,0.03495804965496063
1700,0.027046045288443565
1800,0.024057142436504364
1900,0.023756643757224083
2000,0.01779995672404766
2100,0.019812827929854393
2200,0.016365978866815567
2300,0.018900975584983826
2400,0.015384478494524956
2500,0.015250012278556824
2600,0.016313884407281876
2700,0.01510028075426817
2800,0.01180404331535101
2900,0.014297905378043652
3000,0.010107994079589844
3100,0.012579995207488537
3200,0.011036526411771774
3300,0.010313030332326889
3400,0.009455474093556404
3500,0.008144578896462917
3600,0.008421352133154869
3700,0.009375456720590591
3800,0.00661008944734931
3900,0.007216456346213818
4000,0.008618125692009926
4100,0.010977869853377342
4200,0.0076878489926457405
4300,0.006058447062969208
4400,0.0065580084919929504
4500,0.007007982581853867
4600,0.008235495537519455
4700,0.005629383027553558
4800,0.007556715048849583
4900,0.00792381539940834
5000,0.005985386669635773
