time,velocity_mse,teacher_forced_translation_aligned_rms
0.0,0.014912312850356102,0.12661123275756836
0.03125,0.008470822125673294,0.09234264492988586
0.0625,0.00674330722540617,0.07867945730686188
0.09375,0.007011422421783209,0.07768464833498001
0.125,0.0072439550422132015,0.0799328088760376
0.15625,0.00669774180278182,0.06905227154493332
0.1875,0.006870392709970474,0.06734637171030045
0.21875,0.006999146193265915,0.06536008417606354
0.25,0.007458950858563185,0.06477391719818115
0.28125,0.00805814191699028,0.06452014297246933
0.3125,0.008726019412279129,0.06422155350446701
0.34375,0.008600915782153606,0.060861360281705856
0.375,0.0072584799490869045,0.05324794724583626
0.40625,0.00634436821565032,0.047293104231357574
0.4375,0.006035703234374523,0.043700505048036575
0.46875,0.006410876289010048,0.04253609851002693
0.5,0.005838054232299328,0.03820358216762543
0.53125,0.005489700939506292,0.03473086655139923
0.5625,0.005008669104427099,0.030962729826569557
0.59375,0.0055315252393484116,0.030214527621865273
0.625,0.004439393989741802,0.024985790252685547
0.65625,0.00395159050822258,0.021608702838420868
0.6875,0.003912988118827343,0.019548090174794197
0.71875,0.003808956127613783,0.017357831820845604
0.75,0.0041321152821183205,0.01607038453221321
0.78125,0.004476509988307953,0.014635846950113773
0.8125,0.004395824391394854,0.012431439012289047
0.84375,0.005198705941438675,0.011265946552157402
0.875,0.004834018647670746,0.00869088713079691
0.90625,0.005830799695104361,0.007158719003200531
0.9375,0.0077796680852770805,0.005512649659067392
0.96875,0.014234766364097595,0.0037284228019416332
1.0,0.07479660212993622,2.4118678609852395e-08
