step,direct,rollout,semigroup,loss
1,1.0274947881698608,1.047874093055725,0.013364426791667938,2.088733196258545
100,0.9830133318901062,0.9335091710090637,0.0022212110925465822,1.9187437295913696
200,0.9584932327270508,0.9678268432617188,0.011286809109151363,1.937606930732727
300,0.8876603245735168,0.9345105886459351,0.011851695366203785,1.8340226411819458
400,0.9312022924423218,0.8670419454574585,0.021011030301451683,1.8192552328109741
500,0.889085590839386,0.924945592880249,0.013053216971457005,1.8270843029022217
600,0.7618404626846313,0.838391125202179,0.024765728041529655,1.6249973773956299
700,0.7577420473098755,0.6494057178497314,0.024720007553696632,1.4318677186965942
800,0.4154275953769684,0.40353965759277344,0.021260742098093033,0.8402279615402222
900,0.5282419919967651,0.47670987248420715,0.016688572242856026,1.021640419960022
1000,0.4518319070339203,0.5191208124160767,0.022952530533075333,0.9939053058624268
1100,0.379503071308136,0.4425213634967804,0.038475774228572845,0.8605002164840698
1200,0.343848317861557,0.249910369515419,0.03013850748538971,0.6238971948623657
1300,0.2697083055973053,0.2977016866207123,0.04093409329652786,0.6083440780639648
1400,0.25430023670196533,0.21697953343391418,0.03163601830601692,0.5029157996177673
1500,0.17260055243968964,0.24468258023262024,0.04119161516427994,0.458474725484848
1600,0.21496927738189697,0.2257031351327896,0.04522278159856796,0.48589518666267395
1700,0.20167843997478485,0.23130905628204346,0.03059869445860386,0.4635862112045288
1800,0.12743857502937317,0.28364720940589905,0.04404037445783615,0.45512616634368896
1900,0.12065070867538452,0.11366285383701324,0.02975078858435154,0.26406434178352356
2000,0.12260361760854721,0.14192156493663788,0.036496277898550034,0.3010214567184448
2100,0.1557123363018036,0.23280352354049683,0.03861701115965843,0.42713287472724915
2200,0.20429687201976776,0.1782837212085724,0.054957374930381775,0.4375379681587219
2300,0.13607117533683777,0.10637067258358002,0.0298082884401083,0.27225014567375183
2400,0.10823041200637817,0.10500228404998779,0.03565514087677002,0.248887836933136
2500,0.12156222015619278,0.11759524792432785,0.03617330268025398,0.2753307819366455
2600,0.08584102243185043,0.1658392697572708,0.04863068088889122,0.30031096935272217
2700,0.0808768942952156,0.18451805412769318,0.03436041250824928,0.29975536465644836
2800,0.10063936561346054,0.08011576533317566,0.029900556430220604,0.21065568923950195
2900,0.13762858510017395,0.13029873371124268,0.040521346032619476,0.3084486722946167
3000,0.11455155909061432,0.09316025674343109,0.0412895604968071,0.2490013837814331
3100,0.07807205617427826,0.11763836443424225,0.034771859645843506,0.230482280254364
3200,0.11723656952381134,0.08585900068283081,0.03284461796283722,0.23594018816947937
3300,0.09479095786809921,0.0789475291967392,0.03426700830459595,0.20800548791885376
3400,0.08894067257642746,0.11082536727190018,0.03798535838723183,0.23775139451026917
3500,0.07379098981618881,0.08374342322349548,0.03084017150104046,0.1883745938539505
3600,0.12023837864398956,0.07747536897659302,0.02367902360856533,0.22139276564121246
3700,0.09535352140665054,0.06541594862937927,0.024569768458604813,0.18533922731876373
3800,0.05706324055790901,0.07611799240112305,0.024860430508852005,0.15804165601730347
3900,0.16348834335803986,0.07632703334093094,0.031053241342306137,0.2708686292171478
4000,0.06855129450559616,0.06098521873354912,0.0231524258852005,0.15268893539905548
4100,0.06542784720659256,0.11494909226894379,0.03418046236038208,0.21455740928649902
4200,0.05660800635814667,0.05913231894373894,0.02863713540136814,0.1443774700164795
4300,0.078145831823349,0.0670253336429596,0.028824133798480034,0.17399530112743378
4400,0.04730084910988808,0.061734724789857864,0.02423994615674019,0.13327552378177643
4500,0.05283519625663757,0.08699268102645874,0.04417630657553673,0.18400418758392334
4600,0.07284819334745407,0.09408659487962723,0.029971031472086906,0.19690582156181335
4700,0.08668079227209091,0.056983426213264465,0.021049296483397484,0.16471350193023682
4800,0.032892145216464996,0.03746085241436958,0.022855160757899284,0.09320816397666931
4900,0.05522019416093826,0.036170247942209244,0.015566538088023663,0.10695698112249374
5000,0.08746024966239929,0.03816903755068779,0.021689247339963913,0.1473185420036316
