start,end,flow_map_mse
0.0,0.03125,6.319749809335917e-05
0.03125,0.0625,6.364072032738477e-05
0.0625,0.09375,6.483345350716263e-05
0.09375,0.125,6.326282164081931e-05
0.125,0.15625,6.201423821039498e-05
0.15625,0.1875,6.188046972965822e-05
0.1875,0.21875,6.219530769158155e-05
0.21875,0.25,6.219044007593766e-05
0.25,0.28125,6.302086694631726e-05
0.28125,0.3125,6.315525388345122e-05
0.3125,0.34375,6.450737419072539e-05
0.34375,0.375,6.547715747728944e-05
0.375,0.40625,6.378568650688976e-05
0.40625,0.4375,6.170142296468839e-05
0.4375,0.46875,6.0300659242784604e-05
0.46875,0.5,5.953736763331108e-05
0.5,0.53125,5.883131962036714e-05
0.53125,0.5625,6.156315794214606e-05
0.5625,0.59375,5.8270721638109535e-05
0.59375,0.625,5.8234960306435823e-05
0.625,0.65625,5.8937090216204524e-05
0.65625,0.6875,5.9342470194678754e-05
0.6875,0.71875,6.041258166078478e-05
0.71875,0.75,6.09605158388149e-05
0.75,0.78125,6.33341187494807e-05
0.78125,0.8125,6.170176493469626e-05
0.8125,0.84375,6.171506538521498e-05
0.84375,0.875,6.199891504365951e-05
0.875,0.90625,6.162066711112857e-05
0.90625,0.9375,6.285904964897782e-05
0.9375,0.96875,6.348795432131737e-05
0.96875,1.0,6.196280446602032e-05
