step,passes,time,baseline_mse,corrected_mse,absolute_mse_reduction,normalized_gain,bootstrap_95_low,bootstrap_median,bootstrap_95_high
0,0.0,0.4,3.5001490633003414,2.9317521597258747,0.5683969035744667,0.16239219910209113,0.13228987692965904,0.16222615926120432,0.19327038750823405
0,0.0,0.5,3.679869054176379,3.037438886531163,0.642430167645216,0.17457962720605646,0.14397945991006966,0.1743877658495735,0.20418150234010554
0,0.0,0.6,3.322844419744797,2.8965037029702216,0.4263407167745754,0.12830595204554285,0.1037993486119419,0.1278546402381976,0.1514432771679684
2111,0.25,0.4,2.217912503518164,1.9404897188651375,0.2774227846530266,0.12508283541977627,0.10253838229635213,0.12545470957208193,0.1472057486448473
2111,0.25,0.5,2.272149173935759,1.9390338850062108,0.3331152889295481,0.14660801885315233,0.11876227650834115,0.1462343641105716,0.17258647925343729
2111,0.25,0.6,2.459953158744611,2.0954669187776744,0.3644862399669364,0.14816795948787287,0.12254277750725791,0.14781230171705317,0.17333332907178656
4221,0.5,0.4,1.8195946382475086,1.6155453024548478,0.2040493357926607,0.11213999618573567,0.09069557381538271,0.11246305180241156,0.13336452150256337
4221,0.5,0.5,2.1108051868650364,1.7847251345374389,0.3260800523275975,0.15448135827820797,0.12756198973504984,0.15423212466956004,0.17943937081212846
4221,0.5,0.6,2.3662522371087107,1.9885318243759684,0.37772041273274226,0.15962812704797413,0.1337445438817493,0.1595991423525817,0.18399233128562614
8441,1.0,0.4,1.3200388364748505,1.2411844479502179,0.07885438852463267,0.05973641558547815,0.0432915093084892,0.05949566617332547,0.07702447400992628
8441,1.0,0.5,1.7678605624096235,1.571968748656218,0.19589181375340559,0.1108072762743244,0.08817891849931844,0.11044369990370839,0.13176124231234315
8441,1.0,0.6,2.2461195375508396,1.9093537744192872,0.3367657631315524,0.14993225315993663,0.12461238710094082,0.14966746086830174,0.17348598551382044
16882,2.0,0.4,1.048206863421001,1.0052436692640185,0.042963194156982354,0.040987323834881906,0.026471338272472743,0.040750100794895716,0.0563186565772267
16882,2.0,0.5,1.5340020608164195,1.3870911600679392,0.14691090074848034,0.09576968929904317,0.0740981653713226,0.09553494470321011,0.11644323278535847
16882,2.0,0.6,2.161308995906438,1.8543374500004575,0.30697154590598075,0.14203038366443244,0.11802468870475767,0.14184454400102398,0.16436649724296953
