step,train_quotient_nll,validation_quotient_nll,gradient_norm
1.0,6.239699363708496,6.23757791519165,6.0617547035217285
100.0,2.3851265907287598,6.357361316680908,0.6216676831245422
200.0,2.3065237998962402,6.787295341491699,1.5125553607940674
300.0,3.0542361736297607,7.60865592956543,0.4419054090976715
400.0,2.326327323913574,7.836363315582275,0.3463819921016693
500.0,2.2328901290893555,7.898256301879883,1.7661980390548706
600.0,2.8686118125915527,8.185997009277344,0.48073771595954895
700.0,2.2611348628997803,8.344624519348145,0.17470595240592957
800.0,2.4046242237091064,8.442703247070312,1.0332635641098022
900.0,3.9185047149658203,8.435518264770508,0.8631892204284668
1000.0,3.27838134765625,8.518169403076172,0.7798205018043518
1100.0,1.7420188188552856,8.721997261047363,0.11632509529590607
1200.0,2.9288783073425293,8.62941837310791,0.5285966992378235
1300.0,2.734011173248291,8.58533763885498,0.5320946574211121
1400.0,4.209807872772217,8.566388130187988,0.8852102160453796
1500.0,3.1735329627990723,8.579169273376465,0.8752378821372986
1600.0,3.1852338314056396,8.604291915893555,0.7893461585044861
1700.0,2.2571306228637695,8.809558868408203,0.0726919025182724
1800.0,3.5746047496795654,8.847539901733398,0.3437662720680237
1900.0,1.8050612211227417,8.843221664428711,0.06157085672020912
2000.0,2.1020984649658203,8.769312858581543,0.46975013613700867
