variant,seed,final_quotient_nll,material_id,target_quotient_probability,quotient_nll,proper_so3_map_quotient_accuracy,full_o3_map_quotient_accuracy,fixed_cif_site_accuracy,sampled_proper_quotient_accuracy,species_aware_periodic_match_rate,assignment_entropy,equivalent_label_probabilities,residual_group_sizes_mask_to_terminal,exact_composition_count,terminal_masks,sampling_failures,node_relabel_log_probability_error
legacy_scalar_direction_baseline,1701,1.0986123085021973,JVASP-1180,0.3333333134651184,1.0986123085021973,1.0,1.0,0.0,0.359375,0.359375,1.7917594909667969,"[0.1666666567325592, 0.1666666567325592]","[4, 1, 2, 2]",1,0,0,0.0
legacy_scalar_direction_baseline,1701,1.0986123085021973,JVASP-22673,0.3333333134651184,1.0986123085021973,1.0,1.0,1.0,0.359375,0.359375,1.7917594909667969,"[0.1666666567325592, 0.1666666567325592]","[2, 1, 1, 1]",1,0,0,0.0
legacy_scalar_direction_baseline,1702,1.0986123085021973,JVASP-1180,0.3333333134651184,1.0986123085021973,1.0,1.0,0.0,0.3203125,0.3203125,1.7917594909667969,"[0.1666666567325592, 0.1666666567325592]","[4, 1, 2, 2]",1,0,0,0.0
legacy_scalar_direction_baseline,1702,1.0986123085021973,JVASP-22673,0.3333333134651184,1.0986123085021973,1.0,1.0,1.0,0.3203125,0.3203125,1.7917594909667969,"[0.1666666567325592, 0.1666666567325592]","[2, 1, 1, 1]",1,0,0,0.0
legacy_scalar_direction_baseline,1703,1.0986123085021973,JVASP-1180,0.3333333134651184,1.0986123085021973,1.0,1.0,0.0,0.328125,0.328125,1.7917594909667969,"[0.1666666567325592, 0.1666666567325592]","[4, 1, 2, 2]",1,0,0,0.0
legacy_scalar_direction_baseline,1703,1.0986123085021973,JVASP-22673,0.3333333134651184,1.0986123085021973,1.0,1.0,1.0,0.328125,0.328125,1.7917594909667969,"[0.1666666567325592, 0.1666666567325592]","[2, 1, 1, 1]",1,0,0,0.0
rbf_metric_scorer,1701,1.0986123085021973,JVASP-1180,0.3333333134651184,1.0986123085021973,1.0,1.0,0.0,0.3515625,0.3515625,1.7917594909667969,"[0.1666666567325592, 0.1666666567325592]","[4, 1, 2, 2]",1,0,0,0.0
rbf_metric_scorer,1701,1.0986123085021973,JVASP-22673,0.3541395962238312,1.0380641222000122,1.0,1.0,1.0,0.359375,0.359375,1.7898101806640625,"[0.1770697981119156, 0.1770697981119156]","[2, 1, 1, 1]",1,0,0,0.125
rbf_metric_scorer,1702,1.0553418397903442,JVASP-1180,0.3333333134651184,1.0986123085021973,1.0,1.0,0.0,0.34375,0.34375,1.7917594909667969,"[0.1666666567325592, 0.1666666567325592]","[4, 1, 2, 2]",1,0,0,0.0
rbf_metric_scorer,1702,1.0553418397903442,JVASP-22673,0.3182673454284668,1.1448636054992676,0.0,0.0,0.5,0.3359375,0.3359375,1.7869279384613037,"[0.1591336727142334, 0.1591336727142334]","[2, 1, 1, 1]",1,0,0,0.0
rbf_metric_scorer,1703,1.0986123085021973,JVASP-1180,0.3333333134651184,1.0986123085021973,1.0,1.0,0.0,0.3515625,0.3515625,1.7917594909667969,"[0.1666666567325592, 0.1666666567325592]","[4, 1, 2, 2]",1,0,0,0.0
rbf_metric_scorer,1703,1.0986123085021973,JVASP-22673,0.3333333134651184,1.0986123085021973,1.0,1.0,1.0,0.3515625,0.3515625,1.7917594909667969,"[0.1666666567325592, 0.1666666567325592]","[2, 1, 1, 1]",1,0,0,0.0
rbf_vector_invariant_scorer,1701,0.0,JVASP-1180,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,-0.0,"[0.0, 1.0]","[4, 1, 2, 2]",1,0,0,0.0078125
rbf_vector_invariant_scorer,1701,0.0,JVASP-22673,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,-0.0,"[1.0, 0.0]","[2, 1, 1, 1]",1,0,0,0.09375
rbf_vector_invariant_scorer,1702,0.0,JVASP-1180,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,-0.0,"[0.0, 1.0]","[4, 1, 2, 2]",1,0,0,0.0625
rbf_vector_invariant_scorer,1702,0.0,JVASP-22673,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,-0.0,"[1.0, 0.0]","[2, 1, 1, 1]",1,0,0,0.5
rbf_vector_invariant_scorer,1703,0.0,JVASP-1180,1.0,-0.0,1.0,1.0,0.0,1.0,1.0,-0.0,"[1.0, 0.0]","[4, 1, 2, 2]",1,0,0,0.0
rbf_vector_invariant_scorer,1703,0.0,JVASP-22673,1.0,-0.0,1.0,1.0,0.0,1.0,1.0,-0.0,"[0.0, 1.0]","[2, 1, 1, 1]",1,0,0,0.25
